[description:"Distr lecture" due:"1623531600" end:"1623516887" entry:"1623446273" imask:"6" modified:"1623516887" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"completed" until:"1623853725" uuid:"f7f94a5d-d794-4807-aa84-e737b48e1f44"]
[description:"Make an educational volume on documentation" end:"1623447528" entry:"1623361582" modified:"1623447528" project:"mdinc" status:"completed" uuid:"5f4926d6-8912-48e3-a5ec-a286fbc4cbfa"]
[description:"Give access to Gleb" end:"1623447523" entry:"1623415984" modified:"1623447523" project:"mdinc" status:"completed" uuid:"0dc05760-2d67-4578-9601-15ede10bf552"]
[description:"Distr lecture" due:"1623445200" end:"1623434180" entry:"1623358838" imask:"5" modified:"1623434180" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"completed" until:"1623853725" uuid:"3662949b-6300-44ba-9bbd-d17b1f8846c4"]
[description:"evaluate Ania's design doc" end:"1623434174" entry:"1623425898" modified:"1623434174" project:"mdinc" status:"completed" tags:"next" uuid:"33801158-0301-46c1-8490-00b1a40c1b17"]
[description:"Handle gitlab" end:"1623415962" entry:"1623349169" modified:"1623415962" status:"completed" tags:"mdinc" uuid:"748014b5-7e7d-4e96-a86f-a5aa9c9ce623"]
[description:"Write Prod lecturer on CTO" end:"1623412342" entry:"1622925299" modified:"1623412342" status:"completed" uuid:"13b69967-8045-42e4-ac31-81ef7f896c37"]
[description:"Train autotickets" due:"1623358800" end:"1623407225" entry:"1623275647" imask:"6" modified:"1623407225" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"408e079c-a524-4e8d-a778-75b2d4db2440"]
[description:"Train autotickets" due:"1623445200" end:"1623407225" entry:"1623358838" imask:"7" modified:"1623407225" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"22729a40-d291-4883-89fd-48cf4942be4b"]
[description:"Train typing" due:"1623445200" end:"1623399705" entry:"1623358838" imask:"13" modified:"1623399705" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"29d13027-f4e8-43c4-b388-658a85625cda"]
[description:"Repeat prod exam second time" due:"1623335732" end:"1623399346" entry:"1622903732" modified:"1623399346" status:"completed" uuid:"ba2d8c76-d84d-42a2-b7e9-8072272c7a85"]
[description:"Pebble meditation" due:"1623358800" end:"1623398011" entry:"1623275647" imask:"12" modified:"1623398011" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"05c07d00-8f28-42b8-9cc6-bcc6484b99df"]
[description:"Train typing" due:"1623358800" end:"1623358836" entry:"1623275647" imask:"12" modified:"1623358836" parent:"e97897d4-c09b-42be-9f18-bc775bcfb0e8" project:"daily" recur:"daily" status:"completed" uuid:"61a9d08f-8dbb-4294-a798-ef614655ca92"]
[description:"Review Dima's pull request" due:"1623362225" end:"1623358440" entry:"1623275825" modified:"1623358440" status:"completed" uuid:"9eac53f7-2baa-448c-85c7-2f72f5179b12"]
[description:"Dania at 21-00" due:"1623362081" end:"1623354771" entry:"1623160808" modified:"1623354771" status:"completed" uuid:"8e74ad30-2bda-4b76-a8c0-27da968e4440"]
[description:"Do something" end:"1623326732" entry:"1623326703" modified:"1623326734" status:"deleted" tags:"next" uuid:"4f03f5da-1422-42f3-81d1-2bd78f249e15"]
[description:"Distr lecture" due:"1623358800" end:"1623319249" entry:"1623275647" imask:"4" modified:"1623319249" parent:"487d6b9a-3326-492a-878a-0b09af824fab" recur:"daily" status:"completed" until:"1623853725" uuid:"362b8d91-f0de-4aac-bf8a-c62ce6972bfd"]
[description:"Train autotickets" due:"1623272400" end:"1623276491" entry:"1623234912" imask:"5" modified:"1623276491" parent:"33a7700e-1849-4f04-ac3e-34d7be51102f" project:"daily" recur:"daily" status:"completed" uuid:"ed6de5e9-4657-42f7-bcde-ef796f00f789"]
[description:"Pebble meditation" due:"1623272400" end:"1623275698" entry:"1623234912" imask:"11" modified:"1623275698" parent:"86dba061-379f-4611-b23b-7b5108dc04ac" project:"daily" recur:"daily" status:"completed" uuid:"80148114-a1c6-4d9f-87fe-824360696630"]
